GLASNO,A_WT,SIO2,AL2O3,B2O3,CAO,K2O,NA2O,PBO,Li2O,MgO,SRO,BAO,ZNO,P2O5,GEO2,ZRO2,TIO2,TEO2,FemOn,RO20,RO100,RO150,RO300,Year,Refer_Id,Patent,SLeg,1,3,4,5,6,7,8,9,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,37,38,39,40,41,42,44,45,46,47,48,49,50,51,52,53,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,90,92
20402,19.46791,76,0,13,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,17.96803,13.78186,11.96958,8.430424,1979,33,FALSE,,0,0,0,7.97546,0,0,61.96319,0,3.067485,0,0,23.31288,0,0,0,3.680982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20403,19.66557,76,0,13,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,18.75893,14.42458,12.54815,8.883713,1979,33,FALSE,,0,0,0,7.97546,0,0,61.96319,0,1.840491,0,0,23.31288,0,0,0,4.907976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20404,19.96204,76,0,13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,17.68167,13.71778,12.00173,8.65049,1979,33,FALSE,,0,0,0,7.97546,0,0,61.96319,0,0,0,0,23.31288,0,0,0,6.748466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20406,18.98541,74,0,13,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,14.14988,10.88985,9.478523,6.722365,1979,33,FALSE,,0,0,0,7.97546,0,0,61.34969,0,7.361963,0,0,22.69939,0,0,0,0.613497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20408,19.18306,74,0,13,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,14.81806,11.44689,9.98745,7.137332,1979,33,FALSE,,0,0,0,7.97546,0,0,61.34969,0,6.134969,0,0,22.69939,0,0,0,1.840491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20398,19.75277,78,0,13,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,18.27713,14.23914,12.49101,9.077134,1979,33,FALSE,,0,0,0,7.97546,0,0,62.57669,0,0,0,0,23.92638,0,0,0,5.521472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20410,19.38071,74,0,13,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,16.45895,12.5321,10.83208,7.512167,1979,33,FALSE,,0,0,0,7.97546,0,0,61.34969,0,4.907976,0,0,22.69939,0,0,0,3.067485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20405,18.88659,74,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13.26353,10.22577,8.910669,6.342431,1979,33,FALSE,,0,0,0,7.97546,0,0,61.34969,0,7.97546,0,0,22.69939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20412,19.87484,74,0,13,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,18.66803,14.48186,12.66958,9.130424,1979,33,FALSE,,0,0,0,7.97546,0,0,61.34969,0,1.840491,0,0,22.69939,0,0,0,6.134969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20413,19.97366,74,0,13,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,18.17258,14.0605,12.2803,8.803779,1979,33,FALSE,,0,0,0,7.97546,0,0,61.34969,0,1.226994,0,0,22.69939,0,0,0,6.748466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
